"1622999997309669376 2023-02-07 16:45:27 +0000 <allantoday> The continued successes at Tesla, SpaceX, and Twitter are a testament to your commitment and tenacity! But you must take time to recharge your own batteries...
",Text,Positive Emojis,Negative Emojis,Sentiment Score,Sentiment
"1623996300218826756 2023-02-10 10:44:25 +0000 <Mykola65109280> @lebon80 @modus88308454 @SpaceX What custom modifications are you talking about? Ukrainians use starlink on ""as is"" basis
",mykola what custom modifications are you talking about ukrainians use starlink on as is basis,0,0,0.0,neutral
"1623685416548462593 2023-02-09 14:09:04 +0000 <AltWhaleGems> Dear Halfshib family,  We are very excited to announce that we now have our own BILLBOARDS at SpaceX! 🚀   The dev and team keep working around the clock, developing the future of this beautiful token! We are incredibly thankful for our strong, rapidly growing #HALFSHIB army!  https://t.co/1DdSEwoBSZ
",altwhalegems dear halfshib family we are very excited to announce that we now have our own billboards at spacex 🚀 the dev and team keep working around the clock developing the future of this beautiful token we are incredibly thankful for our strong rapidly growing halfshib army,0,0,0.9578,positive
"1624004425357443072 2023-02-10 11:16:42 +0000 <conrady_jr> Will Geometric Energy Corporation and SpaceX Use Artificial Intelligence in the Doge-1 Mission to the Moon?🪙🚀  ▶️  https://t.co/AgYYGlEUzT   #dogecoin #doge #doge1
",conradyjr will geometric energy corporation and spacex use artificial intelligence in the doge mission to the moon🪙🚀 ▶️ dogecoin doge doge,0,0,0.6369,positive
"1623002360892264448 2023-02-07 16:54:51 +0000 <eonmsk> This is an amazing view #SpaceX
",eonmsk this is an amazing view spacex,0,0,0.5859,positive
"1623455312274661376 2023-02-08 22:54:43 +0000 <bolocan_daniel> Do you need a new studio? 🚀🐀 @elonmusk @SpaceX @NASA  https://t.co/34cxxsSIIU
",bolocandaniel do you need a new studio 🚀🐀,0,1,-1.0,negative
"1622956445649211392 2023-02-07 13:52:24 +0000 <SkippyReg24> @mouser58907 @iliketeslas @elonmusk @considercosmos @SpaceX How? And why?
",skippyreg how and why,0,0,0.0,neutral
"1623352496054837249 2023-02-08 16:06:10 +0000 <AbsoluTilly> @SpaceX @elonmusk How may we be notified when service becomes available in our area?
",absolutilly how may we be notified when service becomes available in our area,0,0,0.0,neutral
"1623669788156256266 2023-02-09 13:06:58 +0000 <McmackinRoisin> @murphyb849 @KatyaYushchenko @SpaceX Elon lied yesterday about an algorithm causing issues - The truth is he put all our accounts on MUTE and accelerated Edward Snowdens Sputnik spin machine...  Elon is a Russian/Saudi puppet.
",mcmackinroisin elon lied yesterday about an algorithm causing issues the truth is he put all our accounts on mute and accelerated edward snowdens sputnik spin machine elon is a russiansaudi puppet,0,0,-0.0772,negative
"1622973938518171648 2023-02-07 15:01:54 +0000 <Pycekarbehcet> @elonmusk @considercosmos @SpaceX @elonmusk Why don't you send help to earthquake victims in Turkey?
",pycekarbehcet why dont you send help to earthquake victims in turkey,0,0,-0.5511,negative
"1623305780257558529 2023-02-08 13:00:32 +0000 <PavelBelyakov9> SpaceX - Missions: Mars  https://t.co/bumT5ZgEn7
",pavelbelyakov spacex missions mars,0,0,0.0,neutral
"1624013687555072001 2023-02-10 11:53:30 +0000 <AngelaW70903357> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones  https://t.co/VX7Afx1Rme
",angelaw fury in ukraine as elon musk’s spacex limits starlink use for drones,0,0,-0.5719,negative
